Player,Position,Minutes,Goals,Assists,Total Shoot,Touches,Expected Goals (xG),Carries
Carmona,RB,90,0,0,2,94,0.1,57
Ørjan Nyland,GK,90,0,0,0,33,0,20
Arnaut Danjuma,FW,64,1,0,2,14,0.3,6
Ayoze Pérez,FW,26,1,0,2,13,0.2,8
Nicolas Pépé,FW,64,0,0,3,25,0.3,15
Thierno Barry,FW,26,0,0,0,12,0,6
Alex Baena,LM,90,0,1,0,39,0,20
Pape Gueye,CM,90,0,0,0,45,0,18
Santi Comesaña,CM,72,0,0,0,41,0,24
Daniel Parejo,CM,18,0,0,0,11,0,2
Ilias Akhomach,RM,72,0,0,1,32,0,21
Yeremi Pino,RM,18,0,0,0,17,0,6
Sergi Cardona,LB,90,0,0,0,57,0,23
Eric Bailly,CB,84,0,0,0,49,0,29
Raúl Albiol,CB,6,0,0,0,12,0,3
Willy Kambwala,CB,90,0,0,0,50,0,20
Kiko Femenía,RB,90,0,0,0,53,0,17
Diego Conde,GK,90,0,0,0,44,0,19
Ante Budimir,FW,78,0,0,1,21,0,8
Raúl,FW,12,0,0,0,3,0,2
Bryan Zaragoza,"LM,RM",90,0,0,2,35,0,28
Aimar Oroz,CM,78,0,0,5,39,0.3,20
Iker Muñoz,CM,4,0,0,0,1,0,1
Pablo Ibáñez,CM,8,0,0,1,4,0,1
Jon Moncayola,CM,90,0,0,2,56,0.1,17
Rubén García,RM,70,1,0,1,39,0.1,17
Moi Gómez,LM,20,0,0,0,10,0,4
Lucas Torró,DM,90,0,0,1,49,0,14
Abel,LB,90,0,0,0,52,0,14
Jorge Herrando,CB,90,0,0,0,36,0,16
Catena,CB,90,0,0,1,53,0,23
Jesús Areso,RB,79,0,0,1,55,0,27
Nacho Vidal,RB,11,0,0,0,8,0,1
Sergio Herrera,GK,90,0,0,0,27,0,13
Vedat Muriqi,FW,90,0,0,1,19,0.1,7
Dani Rodríguez,LW,78,0,0,1,36,0.1,13
Antonio Sánchez,"RM,LW",12,0,0,0,5,0,2
Takuma Asano,RW,61,0,0,2,22,0.2,14
Cyle Larin,"RW,LM",29,0,0,0,14,0,5
Sergi Darder,LM,84,0,0,2,38,0,21
Abdón Prats,FW,6,0,0,1,2,0.1,2
Omar Mascarell,CM,61,0,0,0,38,0,10
Manu Morlanes,CM,29,0,0,0,28,0,15
Samu Costa,"RM,CM",90,0,0,2,65,0.1,37
Johan Mojica,LB,90,0,0,0,77,0,36
Antonio Raillo,CB,90,0,0,0,71,0,36
Martin Valjent,CB,90,0,0,0,66,0,34
Pablo Maffeo,RB,90,0,0,1,50,0,19
Dominik Greif,GK,90,0,0,0,35,0,18
Robert Lewandowski,FW,90,1,0,6,36,1.2,16
Ferrán Torres,LW,62,0,0,1,26,0,13
Fermin López,AM,28,0,0,0,12,0,9
Lamine Yamal,RW,89,1,0,2,53,0.1,34
Pau Victor Delgado,RW,1,0,0,0,2,0,0
Raphinha,"AM,LW",90,0,0,4,63,0.5,35
Pedri,DM,90,0,0,0,62,0,35
